FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4,CD8,CD25,FoxP3,BV786-A,CD3,PE-A,IL2,PerCP-Cy5-5-A,APC-A,CD44,APC-Cy7-A,Time,source_file,Alexa Fluor 488-A,PerCP-A,BV421-A,BV510-A,BV605-A,BV650-A,BB515-A,PE-CF594-A,APC-R700-A,anomaly,true_label,feat_0,feat_1,feat_2,feat_3,feat_4,0,1,2,cluster,UMAP_1,UMAP_2
42616.008,43537.78,202487.81,35022.953,35862.43,114979.73,24.67395,67.493065,805.236,2783.757,675.4238,3.6198683,100.11354,736.6721,2937.4187,2332.8909,330.91702,1296.2075,8.6024885,gated_data.csv,,,,,,,,,,0,1,-0.07686838,-0.10911339,-0.28797314,-0.03832956,-0.01698887,,,,,,
34773.14,34587.305,201319.12,43946.96,45760.375,126652.28,77.48598,216.52115,579.7625,2689.1716,542.72363,-7.4800696,77.11395,575.8277,2473.6543,659.30225,197.09926,1260.7634,8.650393,gated_data.csv,,,,,,,,,,1,1,0.5451417,0.36286643,1.8090025,0.08973887,-0.0040256456,,,,,,
34586.625,34040.055,208437.06,54904.824,56403.23,131104.27,167.97305,13.993886,755.99884,2950.4543,1184.7795,23.802158,232.38867,851.48883,2294.0408,6687.7217,1246.9011,4445.4526,9.05924,gated_data.csv,,,,,,,,,,1,1,0.6718127,0.50557,2.848773,0.075876854,-0.004681179,,,,,,
24645.672,26185.127,154854.17,27619.6,29094.96,104399.45,33.471256,299.8414,200.19151,498.98352,207.39674,45.054344,128.73209,86.978584,162.48164,3223.8296,503.56696,2567.4082,9.07532,gated_data.csv,,,,,,,,,,0,1,0.15501562,0.056853052,0.70910996,0.00391696,-0.015782122,,,,,,
47976.414,47851.45,208204.16,38951.773,38707.832,132168.0,212.13635,1031.4639,626.09143,1346.2156,987.3163,173.00113,252.0457,147.73956,155.56429,1695.6051,656.095,3934.4495,9.1350565,gated_data.csv,,,,,,,,,,1,1,0.7325779,0.73444706,3.6794388,0.10364314,-0.0036931457,,,,,,
59652.09,60267.58,209412.88,41528.965,42820.812,123859.21,77.66579,37.300613,750.2231,3456.8364,1301.2673,7.9556823,583.9502,832.4905,2619.7224,2295.0005,1225.863,8242.258,9.16736,gated_data.csv,,,,,,,,,,0,1,-0.16892645,-0.08334309,-0.42200598,-0.035811834,-0.0204049,,,,,,
54187.043,53517.957,213399.97,46064.336,47068.395,121932.09,63.18615,113.27444,740.50146,3320.1045,1048.105,46.31756,131.81105,1064.0514,3246.5337,1605.201,414.79468,5545.7393,9.296529,gated_data.csv,,,,,,,,,,0,1,-0.2584443,-0.16634257,-0.6381912,-0.0522586,-0.022713087,,,,,,
76824.74,76304.41,216607.47,44449.66,44530.84,120964.195,-29.107672,38.06879,612.8946,3767.0706,1668.3444,17.431866,199.56042,850.66284,2969.1746,2882.6536,1014.39484,9836.586,9.374753,gated_data.csv,,,,,,,,,,0,1,0.22317347,0.16111708,0.9134611,0.034169275,-0.010294633,,,,,,
74073.77,75115.07,195943.84,25151.828,26501.104,100946.37,-8.234783,159.35703,67.89175,-26.362743,-21.273191,-4.0383196,36.435886,-18.769009,-49.836533,24.17357,-65.07131,3.1263967,9.4930725,gated_data.csv,,,,,,,,,,0,1,-0.3327425,-0.28803033,-0.72690874,-0.0551512,-0.016807204,,,,,,
77922.11,77622.84,218090.33,47968.492,50677.457,128878.54,226.73843,41.342106,-0.28592998,592.0254,1144.6921,7.411861,133.56271,27.933424,-108.75929,8474.329,2195.7354,8573.268,9.600208,gated_data.csv,,,,,,,,,,0,1,-0.2645026,-0.12769686,-0.76001394,-0.043799683,-0.014524738,,,,,,
59046.465,60549.0,217719.39,50360.78,51874.33,127399.9,372.49603,2324.382,2438.125,5373.597,1095.3978,264.2727,1071.3479,1976.1151,3500.076,3350.9277,606.66223,613.5295,9.6163845,gated_data.csv,,,,,,,,,,0,1,0.4165422,0.2091355,1.5401447,0.05937031,-0.011116812,,,,,,
51282.562,51693.234,205230.7,31831.309,33087.723,111780.016,79.28383,-129.24036,519.99603,3514.4226,2566.7935,21.772432,185.03873,669.62683,2328.229,14902.689,3620.0195,15520.731,9.8297205,gated_data.csv,,,,,,,,,,0,1,-0.14938027,-0.20532362,-0.78391194,-0.05761923,-0.01836253,,,,,,
78900.23,79354.47,220756.53,52792.19,56813.7,138027.72,-5.775786,227.26338,16.167023,192.03746,396.59784,18.690367,24.666878,24.565083,25.736776,771.23364,442.5487,4883.882,10.091057,gated_data.csv,,,,,,,,,,1,1,0.77009565,0.4620896,2.956285,0.11297697,6.729987e-05,,,,,,
74991.69,74001.32,219898.17,48215.633,49417.953,129519.55,108.80595,28.648384,-7.43418,87.54656,1218.9768,11.130171,95.29392,107.78551,108.4044,1427.7634,788.03156,11238.202,10.139521,gated_data.csv,,,,,,,,,,0,1,0.22994025,0.08308576,0.6677961,0.002730746,-0.011516151,,,,,,
54826.82,56686.453,205380.2,33300.11,35630.5,114048.62,117.14423,92.33099,731.0658,2782.7852,474.76852,3.374529,146.74869,701.10736,2374.4402,578.062,91.35038,1663.2596,10.148025,gated_data.csv,,,,,,,,,,0,1,-0.10719005,-0.13524127,-0.721574,-0.017680522,-0.0037889914,,,,,,
78846.09,76713.305,216952.06,46110.016,47500.312,128311.02,159.82947,146.99942,-54.38388,-15.325848,609.33307,5.143407,146.18236,46.370243,-28.268238,490.6015,434.76462,7460.4775,10.185168,gated_data.csv,,,,,,,,,,0,1,-0.20537978,0.024965614,-0.28659955,-0.031064356,-0.020307483,,,,,,
