FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4,CD8,CD25,FoxP3,BV786-A,CD3,PE-A,IL2,PerCP-Cy5-5-A,APC-A,CD44,APC-Cy7-A,Time
65749.766,65866.2,212904.34,39073.832,40358.227,115312.71,65.30371,68.24797,534.77594,2639.4768,1134.799,6.967308,166.47646,484.37604,2086.4346,1202.9222,665.66266,6869.2363,10.555064
58281.668,58755.92,213273.95,42890.57,43186.94,124598.25,-0.85778993,263.7644,133.30862,1509.0242,1644.5548,22.380625,130.57973,201.56438,1164.0457,1274.8433,687.8967,10417.498,10.711057
79976.46,84622.805,203099.58,53799.945,55691.16,128791.414,-2.8021138,55.55512,-78.05888,2726.171,1387.1035,-33.72915,307.82672,38.774902,170.32674,36793.035,6052.665,12582.084,10.820713
47546.15,50580.453,192050.78,49695.906,49590.645,145505.84,14.7382145,205.81592,575.03314,3018.5059,1131.0819,19.800083,188.21811,925.7848,2519.636,2800.7844,753.8922,4890.2964,10.853361
59709.258,60980.934,210792.4,36149.027,38048.414,117999.664,-47.235638,259.0126,479.71005,2567.8801,733.1245,34.777836,160.8827,618.09235,2526.8408,915.83655,352.10596,1891.6887,11.108001
75100.62,74627.09,207495.05,33546.88,33778.47,112014.49,-34.02567,110.474594,35.575027,0.060759414,1413.981,4.258261,-38.272255,35.917274,136.11795,1545.8921,747.3144,10612.929,11.231561
68843.945,69425.586,211275.05,36592.676,38238.496,112565.26,28.332174,201.89119,65.23745,1509.6532,1340.3253,-1.7438198,125.224205,-11.288939,21.114254,14896.22,3275.2017,10385.696,11.418129
33277.7,34924.098,196700.11,30595.584,31512.143,112538.9,197.31847,2515.7266,2533.3967,3253.2542,1893.6,350.51077,659.89813,410.4741,744.28986,1549.2626,695.23553,597.8312,11.5876255
79476.78,79655.43,206076.86,32089.523,33762.47,108366.14,-1.3152779,168.32686,50.724125,-29.107672,1139.4883,10.980968,71.40556,13.472763,-58.555634,959.9242,650.44135,7083.314,11.769033
54580.312,54503.438,208539.73,33828.09,34560.992,116440.73,170.92064,193.85704,-24.87591,162.4273,583.34705,19.648636,94.338936,98.491684,197.60219,320.72192,419.4762,4241.2144,11.910209
78066.04,79082.234,210653.0,37748.395,40291.254,114941.26,82.518524,212.66272,-38.42899,124.10308,908.9714,33.433884,18.08595,24.514189,90.89924,824.01917,668.87006,8611.049,12.106745
78710.58,79385.664,218367.5,50318.99,51381.67,165142.25,-17.72766,166.20375,55.686092,270.7105,1915.7308,3.7180347,-64.337776,-8.306089,-23.220339,1814.386,1074.6279,15038.866,12.126784
52908.594,53326.293,210345.64,35022.027,35794.59,114382.48,47.865383,80.661804,172.86517,847.43933,928.24316,10.881523,71.78954,172.62587,397.44595,1319.6919,678.5465,6978.123,12.144641
53406.32,55089.836,196335.6,24963.383,26175.523,104705.016,49.098583,-46.492214,538.6144,2870.7944,592.56726,-3.0287397,133.42072,597.12067,2293.0774,578.7293,188.41058,1529.4204,12.495449
79383.16,79597.33,208189.94,34293.508,35673.156,116840.375,57.128136,251.47052,-31.223555,69.621544,42.243084,-13.216319,0.24383156,-0.27534,118.15249,114.18736,-7.3388696,-77.357124,12.513241
75251.08,76255.67,207529.55,33661.58,34927.438,116850.836,-6.5192037,-22.531284,162.72244,92.928764,64.244255,22.22852,71.88554,22.127138,162.10548,43.101055,-13.264327,-64.85386,12.719152
35742.766,36465.555,203377.02,30189.217,31024.398,104756.66,301.73935,536.202,304.1539,667.2462,391.40256,75.77146,4.1108747,81.18694,147.17337,579.08856,308.27448,2912.7156,12.816592
66285.71,66878.8,220666.84,55929.695,57380.812,141675.05,98.30579,221.60304,1432.5665,2936.4436,1030.4917,95.102936,8071.9126,2133.5635,786.7381,30429.498,5040.0093,7925.1094,12.833074
47481.9,45012.363,215621.62,40074.637,37291.996,121309.72,135.44449,366.31052,268.8591,281.4011,590.9414,89.51306,341.29007,150.89944,185.45967,732.79974,217.75891,2720.4917,12.887497
71705.305,73016.125,197161.62,26101.658,27156.887,107342.82,16.415802,97.40997,61.008045,-3.888648,-14.124941,54.525993,-31.572317,8.896251,-76.54451,-120.03129,-97.19926,-140.96066,13.009618
59962.97,59888.19,215584.89,42338.94,43991.816,121309.625,76.04729,237.98398,1309.2162,2258.561,1954.5602,106.02356,7944.935,2316.3435,1358.4357,7585.51,2101.472,12868.735,13.027178
69817.93,70247.6,216307.9,42984.37,44374.902,121048.18,111.78534,266.7755,97.82803,8.497775,1121.1315,32.24741,67.32371,24.15807,-15.969719,1394.4396,791.0758,10447.669,13.296697
57437.87,57928.027,209697.78,34877.656,36063.68,112666.38,115.89429,165.0239,368.52457,2235.5723,788.99524,38.358448,166.71132,469.7731,2028.8427,1076.585,477.17877,5573.953,13.325441
79145.12,80197.54,216770.2,46293.207,48039.44,123510.31,87.78589,269.78488,35.638866,141.0176,678.1116,52.51056,40.913506,8.549542,119.90962,104.11269,470.13696,5291.1074,13.353665
26711.645,28383.812,176585.34,25165.695,26516.787,111167.13,224.22972,1300.4668,1203.5938,2250.612,904.9684,238.62805,254.76082,278.70526,308.37164,1370.1398,382.64307,1488.2684,13.409986
52022.24,52672.652,207887.73,38766.703,40917.766,114733.734,118.75089,102.54402,888.6704,3830.318,846.52435,45.948868,161.21194,1002.97174,3725.0288,1243.5851,355.07147,1889.46,13.497328
79218.31,77631.18,216422.14,45089.01,46330.383,122446.7,140.78055,198.9018,-92.6985,254.60468,2570.5107,23.802158,25.787771,-45.109867,-78.8849,2591.3276,1708.3258,20699.527,13.500137
64068.676,64358.25,218834.0,50967.67,53189.83,142041.81,450.59927,1855.6284,1473.6261,2339.1934,1401.8575,242.87473,344.66602,285.5144,203.00847,1011.40497,619.34625,5474.3076,13.796097
67639.914,67733.18,202959.98,29722.389,31030.637,104421.266,308.17566,1103.5182,1120.674,4010.3398,715.96875,183.58852,354.4623,679.7226,1387.8511,24188.23,4471.0024,2168.5544,13.969737
56332.12,57118.66,215721.58,45913.883,48502.645,121615.234,11.703774,-24.01812,565.3965,3249.537,534.8856,27.268482,51.76647,802.47833,2885.0122,603.19324,242.528,2132.73,14.030698
